username,repo_name,stars,repo_url
CyC2018,CS-Notes,144000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,60800,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,45900,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37900,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,35400,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,23400,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,23000,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,21800,https://github.com/huihut/interview
youngyangyang04,leetcode-master,21100,https://github.com/youngyangyang04/leetcode-master
yuzu-emu,yuzu,17600,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,17400,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,16100,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,14600,https://github.com/microsoft/vcpkg
catchorg,Catch2,14400,https://github.com/catchorg/Catch2
ethereum,solidity,14100,https://github.com/ethereum/solidity
gabime,spdlog,13500,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13200,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,13000,https://github.com/Qv2ray/Qv2ray
facebook,infer,12900,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12400,https://github.com/CoatiSoftware/Sourcetrail
ssloy,tinyrenderer,11900,https://github.com/ssloy/tinyrenderer
google,tink,11900,https://github.com/google/tink
antlr,antlr4,11300,https://github.com/antlr/antlr4
SFTtech,openage,10700,https://github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10700,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,10200,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,10000,https://github.com/compiler-explorer/compiler-explorer
doocs,leetcode,9700,https://github.com/doocs/leetcode
Ciphey,Ciphey,9200,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9100,https://github.com/hmemcpy/milewski-ctfp-pdf
