username,repo_name,stars,repo_url
Genymobile,scrcpy,59600,https://github.com/Genymobile/scrcpy
neovim,neovim,49900,https://github.com/neovim/neovim
git,git,40700,https://github.com/git/git
fffaraz,awesome-cpp,35400,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,34900,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,29100,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,27600,https://github.com/FFmpeg/FFmpeg
vim,vim,25800,https://github.com/vim/vim
curl,curl,23200,https://github.com/curl/curl
ggreer,the_silver_searcher,23100,https://github.com/ggreer/the_silver_searcher
huihut,interview,21800,https://github.com/huihut/interview
ruby,ruby,18800,https://github.com/ruby/ruby
mpv-player,mpv,17300,https://github.com/mpv-player/mpv
google,flatbuffers,17300,https://github.com/google/flatbuffers
pbatard,rufus,17100,https://github.com/pbatard/rufus
ossrs,srs,16900,https://github.com/ossrs/srs
oracle,graal,16400,https://github.com/oracle/graal
radareorg,radare2,15500,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14700,https://github.com/shadowsocks/shadowsocks-libev
microsoft,vcpkg,14600,https://github.com/microsoft/vcpkg
allinurl,goaccess,14200,https://github.com/allinurl/goaccess
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
jarun,nnn,13300,https://github.com/jarun/nnn
kovidgoyal,kitty,13200,https://github.com/kovidgoyal/kitty
facebook,infer,12900,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12400,https://github.com/CoatiSoftware/Sourcetrail
TheAlgorithms,C,12100,https://github.com/TheAlgorithms/C
hashcat,hashcat,11500,https://github.com/hashcat/hashcat
qmk,qmk_firmware,11300,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11100,https://github.com/s-matyukevich/raspberry-pi-os
