username,repo_name,stars,repo_url
electron,electron,99600,https://github.com/electron/electron
FiloSottile,mkcert,33200,https://github.com/FiloSottile/mkcert
microsoft,playwright,32000,https://github.com/microsoft/playwright
ovity,octotree,21700,https://github.com/ovity/octotree
iamadamdev,bypass-paywalls-chrome,21300,https://github.com/iamadamdev/bypass-paywalls-chrome
segmentio,nightmare,19100,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,17600,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,13800,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13300,https://github.com/prisma-archive/chromeless
google,WebFundamentals,12400,https://github.com/google/WebFundamentals
casesandberg,react-color,10300,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9300,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,8500,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,7100,https://github.com/chromedp/chromedp
MetaMask,metamask-extension,6800,https://github.com/MetaMask/metamask-extension
alvarcarto,url-to-pdf-api,6600,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6000,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,5400,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5100,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4800,https://github.com/MontFerret/ferret
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
gildas-lormeau,SingleFile,4500,https://github.com/gildas-lormeau/SingleFile
themerdev,themer,4500,https://github.com/themerdev/themer
burtonator,polar-bookshelf,4400,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
moonD4rk,HackBrowserData,3900,https://github.com/moonD4rk/HackBrowserData
brookhong,Surfingkeys,3800,https://github.com/brookhong/Surfingkeys
ajayyy,SponsorBlock,3800,https://github.com/ajayyy/SponsorBlock
melonjs,melonJS,3700,https://github.com/melonjs/melonJS
