username,repo_name,stars,repo_url
realm,SwiftLint,15600,https://github.com/realm/SwiftLint
facebook,infer,12900,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,9400,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6500,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6400,https://github.com/SonarSource/sonarqube
Kristories,awesome-guidelines,6400,https://github.com/Kristories/awesome-guidelines
facebook,pyre-check,5700,https://github.com/facebook/pyre-check
reviewdog,reviewdog,4600,https://github.com/reviewdog/reviewdog
simplecov-ruby,simplecov,4400,https://github.com/simplecov-ruby/simplecov
detekt,detekt,4200,https://github.com/detekt/detekt
PyCQA,pylint,3800,https://github.com/PyCQA/pylint
import-js,eslint-plugin-import,3800,https://github.com/import-js/eslint-plugin-import
phpro,grumphp,3700,https://github.com/phpro/grumphp
pmd,pmd,3700,https://github.com/pmd/pmd
htmlhint,HTMLHint,2700,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2400,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2200,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1800,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1700,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1200,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1100,https://github.com/Tencent/feflow
urish,typewiz,1100,https://github.com/urish/typewiz
jakzal,phpqa,973,https://github.com/jakzal/phpqa
joshuaclayton,unused,874,https://github.com/joshuaclayton/unused
imgbot,Imgbot,846,https://github.com/imgbot/Imgbot
pdepend,pdepend,777,https://github.com/pdepend/pdepend
SonarSource,SonarJS,772,https://github.com/SonarSource/SonarJS
SonarSource,SonarTS,771,https://github.com/SonarSource/SonarTS
bufferapp,android-guidelines,758,https://github.com/bufferapp/android-guidelines
