username,repo_name,stars,repo_url
ovity,octotree,21700,https://github.com/ovity/octotree
gitpod-io,gitpod,6400,https://github.com/gitpod-io/gitpod
danger,danger,4700,https://github.com/danger/danger
reviewdog,reviewdog,4600,https://github.com/reviewdog/reviewdog
danger,danger-js,4100,https://github.com/danger/danger-js
joho,awesome-code-review,3200,https://github.com/joho/awesome-code-review
houndci,hound,1900,https://github.com/houndci/hound
ajinabraham,nodejsscan,1900,https://github.com/ajinabraham/nodejsscan
mbj,mutant,1800,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1800,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1500,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
bit4woo,python_sec,1100,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,1100,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,991,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,820,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,719,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,599,https://github.com/enlightn/enlightn
palantir,policy-bot,440,https://github.com/palantir/policy-bot
bsamseth,cpp-project,430,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,428,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,400,https://github.com/mookid/diffr
mgreiler,code-review-checklist,366,https://github.com/mgreiler/code-review-checklist
dpnishant,raptor,327,https://github.com/dpnishant/raptor
sjparkinson,static-review,326,https://github.com/sjparkinson/static-review
burrito-brothers,shiba,288,https://github.com/burrito-brothers/shiba
charignon,github-review,272,https://github.com/charignon/github-review
wandersoncferreira,code-review,243,https://github.com/wandersoncferreira/code-review
src-d,lookout,145,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,143,https://github.com/uwolfer/gerrit-rest-java-client
