username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,139000,https://github.com/ohmyzsh/ohmyzsh
httpie,httpie,53200,https://github.com/httpie/httpie
junegunn,fzf,41300,https://github.com/junegunn/fzf
sharkdp,bat,31100,https://github.com/sharkdp/bat
wagoodman,dive,29400,https://github.com/wagoodman/dive
sherlock-project,sherlock,28900,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,28800,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,27900,https://github.com/chubin/cheat.sh
cli,cli,26800,https://github.com/cli/cli
jesseduffield,lazygit,25400,https://github.com/jesseduffield/lazygit
angular,angular-cli,25200,https://github.com/angular/angular-cli
spf13,cobra,24700,https://github.com/spf13/cobra
alebcay,awesome-shell,22700,https://github.com/alebcay/awesome-shell
google,python-fire,21700,https://github.com/google/python-fire
tqdm,tqdm,20800,https://github.com/tqdm/tqdm
sharkdp,fd,20100,https://github.com/sharkdp/fd
n8n-io,n8n,19500,https://github.com/n8n-io/n8n
avajs,ava,19500,https://github.com/avajs/ava
vercel,pkg,19500,https://github.com/vercel/pkg
ibraheemdev,modern-unix,18700,https://github.com/ibraheemdev/modern-unix
chalk,chalk,17700,https://github.com/chalk/chalk
vadimdemedes,ink,17600,https://github.com/vadimdemedes/ink
svg,svgo,17100,https://github.com/svg/svgo
urfave,cli,17100,https://github.com/urfave/cli
gpakosz,.tmux,15700,https://github.com/gpakosz/.tmux
allinurl,goaccess,14200,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
infinitered,ignite,13400,https://github.com/infinitered/ignite
jarun,nnn,13300,https://github.com/jarun/nnn
asdf-vm,asdf,12800,https://github.com/asdf-vm/asdf
