username,repo_name,stars,repo_url
vercel,next.js,79200,https://github.com/vercel/next.js
rust-lang,rust,62100,https://github.com/rust-lang/rust
webpack,webpack,60200,https://github.com/webpack/webpack
sveltejs,svelte,54500,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,52100,https://github.com/gatsbyjs/gatsby
babel,babel,40200,https://github.com/babel/babel
JetBrains,kotlin,39800,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,39800,https://github.com/parcel-bundler/parcel
evanw,esbuild,29800,https://github.com/evanw/esbuild
markedjs,marked,26700,https://github.com/markedjs/marked
vlang,v,26400,https://github.com/vlang/v
vercel,pkg,19500,https://github.com/vercel/pkg
swc-project,swc,19200,https://github.com/swc-project/swc
AssemblyScript,assemblyscript,13200,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12600,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,12400,https://github.com/nim-lang/Nim
ziglang,zig,12000,https://github.com/ziglang/zig
gopherjs,gopherjs,10800,https://github.com/gopherjs/gopherjs
RustPython,RustPython,10300,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,10000,https://github.com/compiler-explorer/compiler-explorer
goplus,gop,7900,https://github.com/goplus/gop
apache,tvm,7600,https://github.com/apache/tvm
numba,numba,7100,https://github.com/numba/numba
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
elm,compiler,6700,https://github.com/elm/compiler
aalhour,awesome-compilers,6400,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6300,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,6000,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5700,https://github.com/rescript-lang/rescript-compiler
lebab,lebab,5500,https://github.com/lebab/lebab
